symbol,trigger_type,close,volume
CORONA.NS,A,1848.0,16238
CRISIL.NS,A,4180.0,8031
CUMMINSIND.NS,A,5411.0,63415
DAICHI.NS,A,266.0,89
BLUESTARCO.NS,A,1682.5,115363
NGIL.NS,A,41.45,43785
NGLFINE.NS,A,2336.0,3399
NMDC.NS,A,93.72,9905664
MOHITIND.NS,A,23.65,386
MOTILALOFS.NS,A,857.15,170801
MPHASIS.NS,A,2153.2,125924
MUNJALAU.NS,A,90.79,82284
NAM-INDIA.NS,A,1101.0,174514
BRITANNIA.NS,A,5405.0,28509
BSE.NS,A,4068.8,919892
CAMS.NS,A,798.1,284909
CARYSIL.NS,A,929.0,10682
TIL.NS,A,232.67,420945
TRENT.NS,A,3205.8,2456189
UNIDT.NS,A,222.51,9242
BBTC.NS,A,1537.6,35445
BFUTILITIE.NS,A,659.5,179277
BHARTIARTL.NS,A,1921.4,3865853
BLIL.NS,A,76.97,27458
ARVIND.NS,A,516.6,527238
ASTRAMICRO.NS,A,1684.1,2096101
BAJAJCON.NS,A,625.25,456196
ALOKINDS.NS,A,13.29,9360801
UYFINCORP.NS,A,14.09,16471
AEROENTER.NS,A,135.87,6427192
AKUMS.NS,A,604.7,112143
WABAG.NS,C,1408.3,93193
WILLAMAGOR.NS,C,27.78,1026
WOCKPHARMA.NS,C,1548.1,337987
WSI.NS,C,70.92,14732
XCHANGING.NS,C,64.73,15574
ZEELEARN.NS,C,5.96,76515
ZENITHSTL.NS,C,6.1,8239
NIITLTD.NS,C,64.82,150772
NIITMTS.NS,C,236.9,58874
NITTAGELA.NS,C,1287.1,1126
MOBIKWIK.NS,C,192.81,579065
MODIS.NS,C,365.0,7936
MOKSH.NS,C,12.59,6620
MOTHERSON.NS,C,126.25,2119924
MRF.NS,C,126870.0,872
MUTHOOTMF.NS,C,185.02,71418
OIL.NS,C,517.9,1087490
OLAELEC.NS,C,36.05,16846082
OMAXE.NS,C,80.94,16009
ONELIFECAP.NS,C,20.9,43417
ONWARDTEC.NS,C,269.65,51569
ORICONENT.NS,C,64.27,5609
OSWALPUMPS.NS,C,393.95,121666
MAHESHWARI.NS,C,52.14,387
MANAKCOAT.NS,C,99.42,10653
MANCREDIT.NS,C,167.99,14084
MANINFRA.NS,C,119.25,1010224
MCLOUD.NS,C,24.94,265659
METROBRAND.NS,C,1053.4,4019
PARACABLES.NS,C,57.99,1142055
PFS.NS,C,29.98,101121
POWERGRID.NS,C,306.2,2512353
PRAJIND.NS,C,373.85,238267
PRAKASH.NS,C,147.37,90749
PRECWIRE.NS,C,380.7,128728
PREMCO.NS,C,398.85,166
PROZONER.NS,C,49.75,41851
KSOLVES.NS,C,281.85,6298
LAL.NS,C,7.02,12685
LANDMARK.NS,C,370.9,19882
LEMERITE.NS,C,442.0,879
LENSKART.NS,C,474.55,594247
LGBBROSLTD.NS,C,1609.3,5094
LOTUSDEV.NS,C,140.32,104146
MAGADSUGAR.NS,C,478.1,4791
PUNJABCHEM.NS,C,1048.8,1153
PVRINOX.NS,C,1025.4,40403
QUINT.NS,C,40.0,446
RADIANTCMS.NS,C,40.62,7729
RAJRATAN.NS,C,414.55,10710
RECLTD.NS,C,348.9,620348
RELTD.NS,C,128.92,40419
REPRO.NS,C,377.35,4257
RHL.NS,C,184.75,1600
RITES.NS,C,213.6,140043
JYOTICNC.NS,C,721.0,81511
KALPATARU.NS,C,347.25,59302
KAMATHOTEL.NS,C,162.72,5627
KAMDHENU.NS,C,24.94,158160
KFINTECH.NS,C,823.25,347098
KHANDSE.NS,C,17.0,901
KOKUYOCMLN.NS,C,92.15,5282
KOVAI.NS,C,5429.5,1096
ISFT.NS,C,79.39,803
IWP.NS,C,35.74,3
JAINREC.NS,C,568.5,495640
JAYBARMARU.NS,C,87.07,52086
JAYKAY.NS,C,159.9,24924
JBMA.NS,C,650.7,278996
JPOLYINVST.NS,C,1033.0,832
JSWDULUX.NS,C,2925.9,2346
RML.NS,C,890.0,5011
RTNINDIA.NS,C,35.07,1322142
ICICIPRULI.NS,C,542.25,125987
IFGLEXPOR.NS,C,170.66,2493
IITL.NS,C,167.8,30321
INDNIPPON.NS,C,768.55,2244
INDOTHAI.NS,C,275.2,88459
INDRAMEDCO.NS,C,379.95,120521
